"WQ_event_id","Field_Name","Event_Date","Calendar_Year","Month_Number","Month","Season","frozen","Ratio","P_Load_lb","Sediment_Load_lb","P_per_Sediment_lb_per_ton"
785,"R3",2005-03-05,2005,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.25,8.39,297.973778307509
786,"R3",2005-06-12,2005,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0108,10.1,2.13861386138614
787,"R3",2005-09-19,2005,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0134,16.9,1.58579881656805
788,"R3",2006-03-09,2006,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",4.1,265,30.9433962264151
789,"R3",2006-04-16,2006,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00144,5.63,0.511545293072824
790,"R3",2007-03-01,2007,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.05,0.739,2841.67794316644
791,"R3",2007-03-09,2007,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",25.8,2150,24
792,"R3",2007-03-12,2007,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.92,211,18.1990521327014
793,"R3",2007-07-04,2007,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.78,5810,0.612736660929432
794,"R3",2007-07-18,2007,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.552,1150,0.96
795,"R3",2007-08-22,2007,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.244,30.9,15.7928802588997
796,"R3",2007-08-27,2007,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0479,14.5,6.60689655172414
797,"R3",2008-01-07,2008,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.232,0.229,2026.20087336245
798,"R3",2008-03-03,2008,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",11.9,55,432.727272727273
799,"R3",2008-03-12,2008,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",13.6,262,103.81679389313
800,"R3",2008-03-15,2008,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.221,3.38,130.769230769231
801,"R3",2008-03-16,2008,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0694,1.49,93.1543624161074
802,"R3",2008-03-18,2008,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0661,1.95,67.7948717948718
803,"R3",2008-03-19,2008,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0689,2.36,58.3898305084746
804,"R3",2008-04-25,2008,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.136,74.8,3.63636363636364
805,"R3",2008-05-02,2008,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.012,6.12,3.92156862745098
806,"R3",2008-05-30,2008,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00876,5.4,3.24444444444444
807,"R3",2008-06-05,2008,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.304,935,0.650267379679144
808,"R3",2008-07-10,2008,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.329,246,2.67479674796748
809,"R3",2008-07-10,2008,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.889,1690,1.05207100591716
810,"R3",2008-07-12,2008,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.278,87.8,6.33257403189066
811,"R3",2008-07-20,2008,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0938,24.9,7.53413654618474
812,"R3",2008-12-27,2008,12,"Dec","Post-growing season","Frozen","Orthophosphate / suspended sediment",4.63,143,64.7552447552448
813,"R3",2009-02-07,2009,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",80.1,598,267.892976588629
814,"R3",2009-02-25,2009,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",20.3,2060,19.7087378640777
815,"R3",2009-03-07,2009,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",14.9,386,77.2020725388601
816,"R3",2009-03-08,2009,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",19.5,809,48.2076637824475
817,"R3",2009-03-10,2009,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",7.54,304,49.6052631578947
818,"R3",2009-06-08,2009,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00273,1.22,4.47540983606557
819,"R3",2009-06-19,2009,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.243,214,2.27102803738318
820,"R3",2009-07-24,2009,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.67,1450,2.30344827586207
821,"R3",2009-07-28,2009,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.71,125,27.36
822,"R3",2009-08-27,2009,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.126,30.7,8.20846905537459
823,"R3",2010-01-24,2010,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.53,0.639,1658.84194053208
824,"R3",2010-03-09,2010,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",15.6,793,39.344262295082
825,"R3",2010-06-06,2010,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0137,3.35,8.17910447761194
826,"R3",2010-06-23,2010,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.15,135,2.22222222222222
827,"R3",2010-06-26,2010,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.105,30.2,6.95364238410596
828,"R3",2010-08-08,2010,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",2.89,246,23.4959349593496
829,"R3",2010-08-13,2010,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.868,130,13.3538461538462
830,"RE1",2015-03-09,2015,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.285,4.96,114.91935483871
831,"RE1",2015-03-10,2015,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.264,5.98,88.2943143812709
832,"RE1",2015-03-11,2015,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0442,1.54,57.4025974025974
833,"RE1",2015-09-18,2015,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00185,0.949,3.89884088514226
834,"RE1",2016-02-19,2016,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.256,7.72,66.3212435233161
835,"RE1",2016-02-20,2016,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0114,0.154,148.051948051948
836,"RE1",2016-08-20,2016,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00591,0.38,31.1052631578947
837,"RE1",2017-01-16,2017,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",3.43,39.4,174.111675126904
838,"RE1",2017-01-19,2017,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",2.03,24.8,163.709677419355
839,"RE1",2017-06-29,2017,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00803,12,1.33833333333333
840,"RE1",2017-07-10,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00232,3.49,1.32951289398281
841,"RE1",2017-07-27,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00273,1.55,3.52258064516129
842,"RE1",2018-01-22,2018,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",8.71,53.8,323.791821561338
843,"RE1",2018-01-25,2018,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.181,0.221,1638.00904977376
844,"RE1",2018-02-15,2018,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.717,0.58,2472.41379310345
845,"RE1",2018-02-19,2018,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",2.89,60.3,95.8540630182421
846,"RE1",2018-02-22,2018,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.88,4.44,396.396396396396
847,"RE1",2018-02-24,2018,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",2.96,23,257.391304347826
848,"RE1",2018-06-19,2018,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00122,2.48,0.983870967741935
849,"RE1",2018-09-03,2018,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00938,8.72,2.15137614678899
850,"RE1",2018-09-20,2018,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.055,85.9,1.28055878928987
851,"RE1",2018-10-02,2018,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0135,18.9,1.42857142857143
852,"RE1",2018-12-27,2018,12,"Dec","Post-growing season","Frozen","Orthophosphate / suspended sediment",0.0904,0.392,461.224489795918
853,"RE1",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.7,5.15,660.194174757282
854,"RE1",2019-02-23,2019,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.83,7.85,466.242038216561
855,"RE1",2020-05-23,2020,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00281,3.3,1.7030303030303
856,"RE5",2015-06-15,2015,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0186,6.82,5.45454545454545
857,"RE5",2015-09-18,2015,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00518,2.35,4.40851063829787
858,"RE5",2016-02-19,2016,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.822,9.74,168.788501026694
859,"RE5",2016-07-23,2016,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00181,0.212,17.0754716981132
860,"RE5",2016-07-28,2016,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00135,0.221,12.2171945701357
861,"RE5",2016-08-19,2016,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00256,0.763,6.71035386631717
862,"RE5",2016-08-20,2016,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0184,10.2,3.6078431372549
863,"RE5",2017-01-16,2017,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",9.63,116,166.034482758621
864,"RE5",2017-05-21,2017,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0179,18.2,1.96703296703297
865,"RE5",2017-06-29,2017,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.984,667,2.95052473763118
866,"RE5",2017-07-10,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0348,2.4,29
867,"RE5",2017-07-12,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.823,287,5.73519163763066
868,"RE5",2017-07-16,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.103,19.6,10.5102040816327
869,"RE5",2017-07-20,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.795,322,4.93788819875776
870,"RE5",2017-07-27,2017,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.102,18.6,10.9677419354839
871,"RE5",2018-01-22,2018,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",14.8,66.9,442.451420029895
872,"RE5",2018-01-26,2018,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",2.9,4.07,1425.06142506142
873,"RE5",2018-02-15,2018,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",2.65,16.8,315.47619047619
874,"RE5",2018-02-19,2018,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",9.43,240,78.5833333333333
875,"RE5",2018-06-19,2018,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00074,0.192,7.70833333333333
876,"RE5",2018-09-03,2018,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00474,1.74,5.44827586206897
877,"RE5",2018-09-20,2018,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.342,326,2.09815950920245
878,"RE5",2018-10-02,2018,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.129,11.1,23.2432432432432
879,"RE5",2018-10-06,2018,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0824,5.2,31.6923076923077
880,"RE5",2018-10-09,2018,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0397,2.53,31.3833992094862
881,"RE5",2018-12-27,2018,12,"Dec","Post-growing season","Frozen","Orthophosphate / suspended sediment",0.101,1.37,147.445255474453
882,"RE5",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.61,7.02,458.689458689459
883,"RE5",2019-02-23,2019,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.03,5.78,356.401384083045
884,"RE5",2019-09-13,2019,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0486,9.77,9.94882292732856
885,"RE5",2019-10-02,2019,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0728,5.15,28.2718446601942
886,"RE5",2019-10-05,2019,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0187,2.32,16.1206896551724
887,"RE5",2020-04-29,2020,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00585,0.344,34.0116279069767
888,"RE5",2020-05-23,2020,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.222,70.8,6.27118644067797
889,"RS1",2019-02-24,2019,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0173,1.17,29.5726495726496
890,"RS1",2019-03-12,2019,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.49,94.1,31.6684378320935
891,"RS1",2019-07-06,2019,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0376,1.49,50.4697986577181
892,"RS1",2019-08-04,2019,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0663,1.83,72.4590163934426
893,"RS1",2019-08-06,2019,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.274,29.3,18.7030716723549
894,"RS1",2019-08-11,2019,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0191,0.372,102.688172043011
895,"RS1",2019-12-29,2019,12,"Dec","Post-growing season","Frozen","Orthophosphate / suspended sediment",0.138,93,2.96774193548387
896,"RS1",2020-02-02,2020,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.00996,0.362,55.0276243093923
897,"RS1",2020-03-09,2020,3,"Mar","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00987,0.3,65.8
898,"RS1",2020-08-28,2020,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.262,9.97,52.5576730190572
899,"RS1",2020-10-22,2020,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0126,6.09,4.13793103448276
900,"RS1",2021-03-03,2021,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0282,0.784,71.9387755102041
901,"RS1",2021-03-08,2021,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0404,1.4,57.7142857142857
902,"RS1",2021-07-15,2021,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0249,23,2.16521739130435
903,"RS1",2021-08-07,2021,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0183,5.61,6.52406417112299
904,"RS1",2021-12-15,2021,12,"Dec","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00336,0.448,15
905,"RS1",2022-02-20,2022,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.00898,1.12,16.0357142857143
906,"RS1",2022-02-28,2022,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.00216,0.199,21.7085427135678
907,"RS1",2022-03-05,2022,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0234,449,0.104231625835189
908,"RS1",2022-03-19,2022,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0117,82.8,0.282608695652174
909,"RS1",2022-07-23,2022,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0242,4.13,11.7191283292978
910,"RS2",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0822,35.8,4.59217877094972
911,"RS2",2019-03-13,2019,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.172,17.9,19.2178770949721
912,"RS2",2019-07-06,2019,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0814,633,0.257187993680885
913,"RS2",2019-08-06,2019,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00902,28.2,0.639716312056738
914,"RS2",2019-08-11,2019,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00483,3.59,2.6908077994429
915,"RS2",2019-09-13,2019,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00629,12.3,1.02276422764228
916,"RS2",2019-10-01,2019,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0115,22.7,1.01321585903084
917,"RS2",2019-10-05,2019,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00926,16.4,1.12926829268293
918,"RS2",2019-12-29,2019,12,"Dec","Post-growing season","Frozen","Orthophosphate / suspended sediment",0.042,14.8,5.67567567567568
919,"RS2",2020-03-01,2020,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.128,7.34,34.8773841961853
920,"RS2",2020-07-09,2020,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0153,8.25,3.70909090909091
921,"RS2",2021-03-03,2021,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0458,2.1,43.6190476190476
922,"RS2",2021-07-15,2021,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.00774,0.277,55.884476534296
923,"RS2",2021-08-07,2021,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0151,1.1,27.4545454545455
924,"RS2",2022-02-20,2022,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0418,1.22,68.5245901639344
925,"RS2",2022-02-28,2022,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0296,0.274,216.058394160584
926,"RS2",2022-03-05,2022,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.268,98.6,5.43610547667343
927,"RS2",2022-03-19,2022,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.0212,0.883,48.0181200453001
928,"RS2",2022-06-15,2022,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0369,8.18,9.02200488997555
929,"RS2",2023-03-07,2023,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.00151,0.756,3.99470899470899
930,"WF1",2010-12-30,2010,12,"Dec","Post-growing season","Frozen","Orthophosphate / suspended sediment",0.0476,0.688,138.372093023256
931,"WF1",2011-02-16,2011,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",1.75,142,24.6478873239437
932,"WF1",2011-04-10,2011,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0166,0.691,48.0463096960926
933,"WF1",2011-04-26,2011,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0715,6.59,21.6995447647951
934,"WF1",2011-06-18,2011,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0244,11.1,4.3963963963964
935,"WF1",2011-07-11,2011,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.367,30.2,24.3046357615894
936,"WF1",2011-07-16,2011,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",2.06,370,11.1351351351351
937,"WF1",2011-08-17,2011,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.508,78.7,12.9097839898348
938,"WF1",2012-03-12,2012,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",3.33,38.7,172.093023255814
939,"WF1",2012-05-24,2012,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",1.24,2550,0.972549019607843
940,"WF1",2012-06-19,2012,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.473,2040,0.463725490196078
941,"WF1",2012-06-20,2012,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.37,2820,0.971631205673759
942,"WF1",2012-07-21,2012,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.18,12.3,29.2682926829268
943,"WF1",2012-08-24,2012,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.195,43.6,8.94495412844037
944,"WF1",2013-04-14,2013,4,"Apr","Pre-growing season","Frozen","Orthophosphate / suspended sediment",6.18,58.5,211.282051282051
945,"WF1",2013-06-15,2013,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.992,15300,0.129673202614379
946,"WF1",2013-06-21,2013,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.942,20000,0.0942
947,"WF1",2013-06-22,2013,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.209,933,0.448017148981779
948,"WF1",2014-04-27,2014,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0514,4.97,20.6841046277666
949,"WF1",2014-04-28,2014,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0952,8.45,22.5325443786982
950,"WF1",2014-04-29,2014,4,"Apr","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0653,2.24,58.3035714285714
951,"WF1",2014-05-09,2014,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.145,28.5,10.1754385964912
952,"WF1",2014-05-12,2014,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.521,241,4.32365145228216
953,"WF1",2014-05-19,2014,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.616,138,8.92753623188406
954,"WF1",2014-06-07,2014,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0597,19.1,6.25130890052356
955,"WF1",2014-06-15,2014,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.48,4080,0.725490196078431
956,"WF1",2014-06-19,2014,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.62,11800,0.274576271186441
957,"WF1",2014-06-28,2014,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.87,11000,0.34
958,"WF1",2014-08-29,2014,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.722,64,22.5625
959,"WF1",2014-09-01,2014,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.212,19.9,21.3065326633166
960,"WF1",2014-09-04,2014,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.947,2510,0.754581673306773
961,"WF1",2014-09-10,2014,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.229,47.4,9.66244725738397
962,"WF1",2014-09-10,2014,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.146,16.6,17.5903614457831
963,"WF1",2015-05-08,2015,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0509,966,0.105383022774327
964,"WF1",2015-05-17,2015,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.114,1630,0.139877300613497
965,"WF1",2015-05-17,2015,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.429,12300,0.0697560975609756
966,"WF1",2015-06-07,2015,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0737,445,0.33123595505618
967,"WF1",2015-06-17,2015,6,"Jun","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.409,6960,0.117528735632184
968,"WF1",2015-07-06,2015,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",2.81,8750,0.642285714285714
969,"WF1",2015-07-13,2015,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.519,83.6,12.4162679425837
970,"WF1",2015-07-13,2015,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.803,882,1.82086167800454
971,"WF1",2015-07-18,2015,7,"Jul","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.887,640,2.771875
972,"WF1",2015-08-07,2015,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.518,0.653,1586.52373660031
973,"WF1",2015-08-18,2015,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",3.53,1630,4.33128834355828
974,"WF1",2015-08-23,2015,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.744,202,7.36633663366337
975,"WF1",2015-09-17,2015,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",0.335,50.7,13.2149901380671
976,"WF1",2015-10-31,2015,10,"Oct","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0968,1.6,121
977,"WF1",2015-11-12,2015,11,"Nov","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",2.29,14.9,307.38255033557
978,"WF1",2015-12-14,2015,12,"Dec","Post-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.422,39.3,21.4758269720102
979,"WF1",2016-03-06,2016,3,"Mar","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.371,3.77,196.816976127321
980,"WF1",2016-03-08,2016,3,"Mar","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.11,2.29,96.0698689956332
981,"WF1",2016-03-16,2016,3,"Mar","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.07,2.85,49.1228070175439
982,"WF1",2016-08-11,2016,8,"Aug","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.23,25.1,98.00796812749
983,"WF1",2016-09-06,2016,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.62,616,5.25974025974026
984,"WF1",2016-09-21,2016,9,"Sep","Growing season","Non-Frozen","Orthophosphate / suspended sediment",1.56,489,6.38036809815951
985,"WF1",2017-01-20,2017,1,"Jan","Pre-growing season","Frozen","Orthophosphate / suspended sediment",4.85,56.5,171.681415929204
986,"WF1",2017-02-20,2017,2,"Feb","Pre-growing season","Frozen","Orthophosphate / suspended sediment",0.355,10.6,66.9811320754717
987,"WF1",2017-03-07,2017,3,"Mar","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.0731,3.28,44.5731707317073
988,"WF1",2017-05-17,2017,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.863,122,14.1475409836066
989,"WF1",2017-05-20,2017,5,"May","Pre-growing season","Non-Frozen","Orthophosphate / suspended sediment",0.263,77.9,6.75224646983312
